OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,CITY,ZIP,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape
333,333,1676,101911,GOOSE CREEK CISD,101911002,LEE H S,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,P O BOX 30,Y,333
334,334,1677,101911,GOOSE CREEK CISD,101911003,STERLING H S,P O BOX 30,BAYTOWN,77522,BAYTOWN,77521,HARRIS COUNTY,4,12-Sep,4,0,REGULAR,P O BOX 30,Y,334
335,335,1678,101911,GOOSE CREEK CISD,101911041,BAYTOWN J H,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,P O BOX 30,Y,335
336,336,1679,101911,GOOSE CREEK CISD,101911044,HIGHLANDS J H,P O BOX 30,BAYTOWN,77522,HIGHLANDS,77562,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,P O BOX 30,Y,336
337,337,1680,101911,GOOSE CREEK CISD,101911045,HORACE MANN J H,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,P O BOX 30,Y,337
338,338,1681,101911,GOOSE CREEK CISD,101911046,GENTRY J H,P O BOX 30,BAYTOWN,77522,BAYTOWN,77521,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,P O BOX 30,Y,338
339,339,1682,101911,GOOSE CREEK CISD,101911101,ALAMO EL,P O BOX 30,BAYTOWN,77522,BAYTOWN,77521,HARRIS COUNTY,4,PK-5,1,0,REGULAR,P O BOX 30,Y,339
340,340,1683,101911,GOOSE CREEK CISD,101911103,JAMES BOWIE EL,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,PK-5,1,0,REGULAR,P O BOX 30,Y,340
341,341,1684,101911,GOOSE CREEK CISD,101911105,CARVER EL,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,EE-5,1,0,REGULAR,P O BOX 30,Y,341
342,342,1709,101911,GOOSE CREEK CISD,101911117,HOPPER PRI,P O BOX 30,BAYTOWN,77522,HIGHLANDS,77562,HARRIS COUNTY,4,EE-1,1,0,REGULAR,P O BOX 30,Y,342
343,343,1710,101911,GOOSE CREEK CISD,101911118,CROCKETT EL,P O BOX 30,BAYTOWN,77522,BAYTOWN,77521,HARRIS COUNTY,4,EE-5,1,0,REGULAR,P O BOX 30,Y,343
344,344,1711,101912,HOUSTON ISD,101912001,AUSTIN H S,1700 DUMBLE,HOUSTON,77023,HOUSTON,77023,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,1700 DUMBLE,Y,344
345,345,1712,101912,HOUSTON ISD,101912002,BELLAIRE H S,5100 MAPLE,BELLAIRE,77401,BELLAIRE,77401,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,5100 MAPLE,Y,345
346,346,1713,101912,HOUSTON ISD,101912003,DAVIS H S,1101 QUITMAN,HOUSTON,77009,HOUSTON,77009,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,1101 QUITMAN,Y,346
347,347,1714,101912,HOUSTON ISD,101912004,FURR H S,520 MERCURY,HOUSTON,77013,HOUSTON,77013,HARRIS COUNTY,4,12-Sep,4,0,REGULAR,520 MERCURY,Y,347
348,348,1715,101912,HOUSTON ISD,101912006,JONES H S,7414 ST LO RD,HOUSTON,77033,HOUSTON,77033,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,7414 ST LO RD,Y,348
349,349,1716,101912,HOUSTON ISD,101912007,KASHMERE H S,6900 WILEYVALE ST,HOUSTON,77028,HOUSTON,77028,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,6900 WILEYVALE ST,Y,349
350,350,1717,101912,HOUSTON ISD,101912008,LAMAR H S,3325 WESTHEIMER RD,HOUSTON,77098,HOUSTON,77098,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,3325 WESTHEIMER RD,Y,350
351,351,1718,101912,HOUSTON ISD,101912009,LEE H S,6529 BEVERLY HILL LN,HOUSTON,77057,HOUSTON,77057,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,6529 BEVERLY HILL LN,Y,351
352,352,1719,101912,HOUSTON ISD,101912010,MADISON H S,13719 WHITEHEATHER,HOUSTON,77045,HOUSTON,77045,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,13719 WHITEHEATHER,Y,352
353,353,1720,101912,HOUSTON ISD,101912011,MILBY H S,1601 BROADWAY ST,HOUSTON,77012,HOUSTON,77012,HARRIS COUNTY,4,12-Sep,4,0,REGULAR,1601 BROADWAY ST,Y,353
354,354,1721,101912,HOUSTON ISD,101912012,REAGAN H S,413 E 13TH ST,HOUSTON,77008,HOUSTON,77008,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,413 E 13TH ST,Y,354
355,355,1722,101912,HOUSTON ISD,101912013,COMMUNITY SERVICES-SEC,4610 CROSSTIMBERS,HOUSTON,77016,HOUSTON,77016,HARRIS COUNTY,4,EE-12,5,1,ALTERNATIVE,4610 CROSSTIMBERS,Y,355
356,356,1723,101912,HOUSTON ISD,101912014,STERLING H S,11625 MARTINDALE RD,HOUSTON,77048,HOUSTON,77048,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,11625 MARTINDALE RD,Y,356
357,357,1724,101912,HOUSTON ISD,101912015,WALTRIP H S,1900 W 34TH ST,HOUSTON,77018,HOUSTON,77018,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,1900 W 34TH ST,Y,357
358,358,1725,101912,HOUSTON ISD,101912016,WASHINGTON B T H S,119 E 39TH ST,HOUSTON,77018,HOUSTON,77018,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,119 E 39TH ST,Y,358
359,359,1726,101912,HOUSTON ISD,101912017,WESTBURY H S,11911 CHIMNEY ROCK,HOUSTON,77035,HOUSTON,77035,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,11911 CHIMNEY ROCK,Y,359
360,360,1727,101912,HOUSTON ISD,101912018,WHEATLEY H S,4900 MARKET ST,HOUSTON,77020,HOUSTON,77020,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,4900 MARKET ST,Y,360
361,361,1728,101912,HOUSTON ISD,101912019,WORTHING H S,9215 SCOTT ST,HOUSTON,77051,HOUSTON,77051,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,9215 SCOTT ST,Y,361
362,362,1729,101912,HOUSTON ISD,101912020,YATES H S,3703 SAMPSON ST,HOUSTON,77004,HOUSTON,77004,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,3703 SAMPSON ST,Y,362
363,363,1835,84910,CLEAR CREEK ISD,84910009,DEVEREUX A E P,1100 DEVEREAUX DR,LEAGUE CITY,77573,LEAGUE CITY,77573,GALVESTON COUNTY,4,12-Jun,4,0,REGULAR INSTRUCTIONAL,1100 DEVEREAUX DR,Y,363
364,364,1836,84910,CLEAR CREEK ISD,84910048,VICTORY LAKES INTERMEDIATE,2880 W WALKER,LEAGUE CITY,77573,LEAGUE CITY,77573,GALVESTON COUNTY,4,8-Jun,2,0,REGULAR,2880 W WALKER,Y,364
365,365,1837,84910,CLEAR CREEK ISD,84910122,ART AND PAT GOFORTH ELEMENTARY SCHOOL,2610 WEBSTER RD,LEAGUE CITY,77573,LEAGUE CITY,77573,GALVESTON COUNTY,4,KG-5,1,0,REGULAR,2610 WEBSTER RD,Y,365
366,366,1838,84910,CLEAR CREEK ISD,84910123,HENRY BAUERSCHLAG ELEMENTARY SCHOOL,2051 BRITTANY BAY BLVD,LEAGUE CITY,77573,LEAGUE CITY,77573,GALVESTON COUNTY,4,KG-5,1,0,REGULAR,2051 BRITTANY BAY BLVD,Y,366
367,367,1839,84911,FRIENDSWOOD ISD,84911104,WINDSONG INTERMEDIATE,2100 W PARKWOOD,FRIENDSWOOD,77546,FRIENDSWOOD,77546,GALVESTON COUNTY,4,6-Apr,1,0,REGULAR,2100 W PARKWOOD,Y,367
368,368,1863,101919,SPRING ISD,101919114,DELORAS E THOMPSON EL,12470 WALTERS RD,HOUSTON,77014,HOUSTON,77014,HARRIS COUNTY,4,EE-5,1,1,REGULAR,12470 WALTERS RD,Y,368
369,369,1864,101913,HUMBLE ISD,101913046,TIMBERWOOD MIDDLE,18450 TIMBER FOREST DR,HUMBLE,77346,HUMBLE,77346,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,1845 TIMBER FOREST DR,Y,369
370,370,1865,101914,KATY ISD,101914115,JEANETTE HAYES EL,21203 PARK TIMBERS,KATY,77450,KATY,77450,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,21203 PARK TIMBERS,Y,370
371,371,1866,101912,HOUSTON ISD,101912276,SHADOWBRIAR EL,2650 SHADOWBRIAR DR,HOUSTON,77077,HOUSTON,77077,HARRIS COUNTY,4,5-Mar,1,1,REGULAR,2650 SHADOWBRIAR DR,Y,371
372,372,1867,101920,SPRING BRANCH ISD,101920126,BUFFALO CREEK EL,2801 BLALOCK RD,HOUSTON,77080,HOUSTON,77080,HARRIS COUNTY,4,EE-5,1,1,REGULAR,2801 BLALOCK RD,Y,372
373,373,1868,101902,ALDINE ISD,101902107,CARTER ELEMENTARY,3111 FALLBROOK DR,HOUSTON,77038,HOUSTON,77038,HARRIS COUNTY,4,KG-4,1,2,REGULAR,3111 FALLBROOK DR,Y,373
374,374,1869,101914,KATY ISD,101914116,MCROBERTS EL,3535 FRY RD,KATY,77449,KATY,77449,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,3535 FRY RD,Y,374
375,375,1880,84910,CLEAR CREEK ISD,84910106,LAVACE STEWART EL,330 HWY 2094,KEMAH,77565,KEMAH,77565,GALVESTON COUNTY,4,EE-5,1,1,REGULAR,330 HWY 2094,Y,375
376,376,1890,101902,ALDINE ISD,101902084,EISENHOWER NINTH GRADE SCHOOL,3550 W GULFBANK,HOUSTON,77088,HOUSTON,77088,HARRIS COUNTY,4,9,4,1,REGULAR,3550 W GULFBANK,Y,376
377,377,1891,101911,GOOSE CREEK CISD,101911113,ASHBEL SMITH EL,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,EE-5,1,1,REGULAR,P O BOX 30,Y,377
378,378,1948,20901,ALVIN ISD,20901109,HOOD-CASE ELEMENTARY,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,EE-6,1,1,REGULAR,301 E HOUSE ST,Y,378
379,379,1949,20908,PEARLAND ISD,20908102,C J  HARRIS ELEMENTARY,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,EE-4,1,2,REGULAR,P O BOX 7,Y,379
380,380,1950,20908,PEARLAND ISD,20908109,SILVERLAKE EL,P O BOX 7,PEARLAND,77588,PEARLAND,77584,BRAZORIA COUNTY,4,PK-4,1,1,REGULAR,P O BOX 7,Y,380
381,381,2000,79907,FORT BEND ISD,79907137,SIENNA CROSSING EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,MISSOURI CITY,77459,FORT BEND COUNTY,4,EE-5,1,2,REGULAR,16431 LEXINGTON BLVD,Y,381
382,382,2001,79907,FORT BEND ISD,79907134,BURTON EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,FRESNO,77545,FORT BEND COUNTY,4,EE-5,1,1,REGULAR,16431 LEXINGTON BLVD,Y,382
383,383,2002,79907,FORT BEND ISD,79907047,HODGES BEND MIDDLE,16431 LEXINGTON BLVD,SUGAR LAND,77479,HOUSTON,77083,FORT BEND COUNTY,4,8-Jun,2,1,REGULAR,16431 LEXINGTON BLVD,Y,383
384,384,2003,79907,FORT BEND ISD,79907046,CHRISTA MCAULIFFE MIDDLE,16431 LEXINGTON BLVD,SUGAR LAND,77479,HOUSTON,77053,FORT BEND COUNTY,4,8-Jun,2,1,REGULAR,16431 LEXINGTON BLVD,Y,384
385,385,2004,79907,FORT BEND ISD,79907049,MACARIO GARCIA MIDDLE,16431 LEXINGTON BLVD,SUGAR LAND,77479,SUGAR LAND,77478,FORT BEND COUNTY,4,8-Jun,2,1,REGULAR,16431 LEXINGTON BLVD,Y,385
386,386,2005,79907,FORT BEND ISD,79907044,QUAIL VALLEY MIDDLE,16431 LEXINGTON BLVD,SUGAR LAND,77479,MISSOURI CITY,77459,FORT BEND COUNTY,4,8-Jun,2,1,REGULAR,16431 LEXINGTON BLVD,Y,386
387,387,2006,101914,KATY ISD,101914046,RODGER & ELLEN BECK J H,5200 S FRY RD,KATY,77450,KATY,77450,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,5200 S FRY RD,Y,387
388,388,2007,101907,CYPRESS-FAIRBANKS ISD,101907009,CYPRESS SPRINGS H S,7909 FRY RD,CYPRESS,77433,CYPRESS,77433,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,7909 FRY RD,Y,388
389,389,2008,101921,TOMBALL ISD,101921107,WILLOW CREEK EL,18302 N ELDRIDGE PKWY,TOMBALL,77375,TOMBALL,77375,HARRIS COUNTY,4,PK-4,1,2,REGULAR,18302 N ELDRIDGE PKWY,Y,389
390,390,2044,170902,CONROE ISD,170902011,CANEY CREEK H S,16840 F M 2090,CONROE,77306,CONROE,77306,MONTGOMERY COUNTY,6,12-Sep,4,1,REGULAR,16840 F M 2090,Y,390
391,391,2045,170902,CONROE ISD,170902051,MOORHEAD J H,16840 F M 2090,CONROE,77306,CONROE,77306,MONTGOMERY COUNTY,6,8-Jul,3,1,REGULAR,16840 F M 2090,Y,391
392,392,2046,170908,NEW CANEY ISD,170908106,ROBERT CRIPPEN EL,18690 CUMBERLAND BLVD,PORTER,77365,PORTER,77365,MONTGOMERY COUNTY,6,PK-5,1,1,REGULAR,18690 CUMBERLAND BLVD,Y,392
393,393,2047,170908,NEW CANEY ISD,170908101,PORTER EL,22256 FORD RD,PORTER,77365,PORTER,77365,MONTGOMERY COUNTY,6,EE-5,1,1,REGULAR,22256 FORD RD,Y,393
394,394,2048,170906,MAGNOLIA ISD,170906042,BEAR BRANCH J H,P O BOX 606,MAGNOLIA,77353,MAGNOLIA,77354,MONTGOMERY COUNTY,6,8-Jun,3,1,REGULAR,P O BOX 606,Y,394
395,395,2049,170902,CONROE ISD,170902123,BUCKALEW EL,4909 W ALDEN BRIDGE DR,THE WOODLANDS,77382,THE WOODLANDS,77382,MONTGOMERY COUNTY,6,KG-4,1,1,REGULAR,4909 W ALDEN BRIDGE DR,Y,395
396,396,2050,170902,CONROE ISD,170902067,MITCHELL INT,6800 ALDEN BRIDGE,THE WOODLANDS,77382,THE WOODLANDS,77381,MONTGOMERY COUNTY,6,6-May,2,1,REGULAR,6800 ALDEN BRIDGE,Y,396
397,397,2096,170908,NEW CANEY ISD,170908113,OAKLEY EL,22320 LOOP 494,NEW CANEY,77357,NEW CANEY,77357,MONTGOMERY COUNTY,6,EE PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,22320 LOOP 494,Y,397
398,398,2133,20908,PEARLAND ISD,20908001,PEARLAND H S,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,12-Sep,4,1,REGULAR,P O BOX 7,Y,398
399,399,2134,20908,PEARLAND ISD,20908041,PEARLAND JUNIOR HIGH EAST,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,8-Jul,3,1,REGULAR,P O BOX 7,Y,399
400,400,2135,20908,PEARLAND ISD,20908042,PEARLAND JUNIOR HIGH WEST,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,8-Jul,3,1,REGULAR,P O BOX 7,Y,400
401,401,2136,20908,PEARLAND ISD,20908101,E A LAWHON EL,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,EE-4,1,0,REGULAR,P O BOX 7,Y,401
402,402,2137,20908,PEARLAND ISD,20908103,SHADYCREST EL,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,PK-4,1,0,REGULAR,P O BOX 7,Y,402
403,403,2138,20908,PEARLAND ISD,20908105,SAM JAMISON MIDDLE,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,6-May,2,0,REGULAR,P O BOX 7,Y,403
404,404,2139,20908,PEARLAND ISD,20908107,RUSTIC OAK EL,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,KG-4,1,0,REGULAR,P O BOX 7,Y,404
405,405,2140,20908,PEARLAND ISD,20908108,LEON H SABLATURA MIDDLE,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,6-May,2,1,REGULAR,P O BOX 7,Y,405
406,406,2188,170902,CONROE ISD,170902121,BUSH EL,7420 CROWNRIDGE DR,THE WOODLANDS,77382,THE WOODLANDS,77382,MONTGOMERY COUNTY,6,EE-4,1,1,REGULAR,7420 CROWNRIDGE DR,Y,406
407,407,2393,20901,ALVIN ISD,20901001,ALVIN HIGH SCHOOL,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,12-Sep,4,1,REGULAR,301 E HOUSE ST,Y,407
408,408,2394,20901,ALVIN ISD,20901041,ALVIN J H,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,8-Jul,3,0,REGULAR,301 E HOUSE ST,Y,408
409,409,2395,20901,ALVIN ISD,20901043,G W HARBY J H,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,8-Jul,2,1,REGULAR,301 E HOUSE ST,Y,409
410,410,2396,20901,ALVIN ISD,20901101,ALVIN ELEMENTARY,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,6-Apr,1,0,REGULAR,301 E HOUSE ST,Y,410
411,411,2397,20901,ALVIN ISD,20901102,ALVIN PRI,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,EE-3,1,0,REGULAR,301 E HOUSE ST,Y,411
412,412,2398,20901,ALVIN ISD,20901103,MARK TWAIN PRIMARY,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,EE-3,1,0,REGULAR,301 E HOUSE ST,Y,412
413,413,2399,20901,ALVIN ISD,20901105,E C MASON ELEMENTARY,301 E HOUSE ST,ALVIN,77511,MANVEL,77578,BRAZORIA COUNTY,4, ,1,0,REGULAR,301 E HOUSE ST,Y,413
414,414,2400,20901,ALVIN ISD,20901106,R L STEVENSON PRIMARY,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,EE-3,1,0,REGULAR,301 E HOUSE ST,?,414
415,415,2401,20901,ALVIN ISD,20901107,WALT DISNEY ELEMENTARY,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,6-Apr,1,0,REGULAR,301 E HOUSE ST,Y,415
416,416,2780,101903,ALIEF ISD,101903101,YOUENS EL,12141 HIGH STAR,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,PK-5,1,1,REGULAR,12141 HIGH STAR,Y,416
417,417,2807,79907,FORT BEND ISD,79907123,HIGHLANDS EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,SUGAR LAND,77478,FORT BEND COUNTY,4,EE-5,1,1,REGULAR,16431 LEXINGTON BLVD,Y,417
418,418,2808,79907,FORT BEND ISD,79907124,MISSION GLEN EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,HOUSTON,77083,FORT BEND COUNTY,4,EE-5,1,0,REGULAR,16431 LEXINGTON BLVD,Y,418
419,419,2809,79907,FORT BEND ISD,79907125,PECAN GROVE EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,RICHMOND,77469,FORT BEND COUNTY,4,EE-5,1,0,REGULAR,16431 LEXINGTON BLVD,Y,419
420,420,2810,79907,FORT BEND ISD,79907126,AUSTIN PARKWAY EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,SUGAR LAND,77479,FORT BEND COUNTY,4,EE-5,1,0,REGULAR,16431 LEXINGTON BLVD,Y,420
421,421,2811,79907,FORT BEND ISD,79907127,BARRINGTON PLACE EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,SUGAR LAND,77478,FORT BEND COUNTY,4,EE-5,1,1,REGULAR,16431 LEXINGTON BLVD,Y,421
422,422,3025,101912,HOUSTON ISD,101912122,BURBANK EL,216 TIDWELL,HOUSTON,77022,HOUSTON,77022,HARRIS COUNTY,4,EE-5,1,1,REGULAR,216 TIDWELL,Y,422
423,423,3026,101912,HOUSTON ISD,101912123,CODWELL EL,5225 TAVENOR LN,HOUSTON,77048,HOUSTON,77048,HARRIS COUNTY,4,EE-6,1,1,REGULAR,5225 TAVENOR LN,Y,423
424,424,3027,101912,HOUSTON ISD,101912124,BURNET EL,5403 CANAL ST,HOUSTON,77011,HOUSTON,77011,HARRIS COUNTY,4,EE-6,1,1,REGULAR,5403 CANAL ST,Y,424
425,425,3028,101912,HOUSTON ISD,101912125,BURRUS EL,701 E 33RD ST,HOUSTON,77022,HOUSTON,77022,HARRIS COUNTY,4,EE-6,1,1,REGULAR,701 E 33RD ST,Y,425
426,426,3029,101912,HOUSTON ISD,101912128,LYONS EL,800 ROXELLA RD,HOUSTON,77076,HOUSTON,77076,HARRIS COUNTY,4,EE-5,1,1,REGULAR,800 ROXELLA RD,Y,426
427,427,3030,101912,HOUSTON ISD,101912130,CONDIT EL,7000 S THIRD,BELLAIRE,77401,BELLAIRE,77401,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,7000 S THIRD,Y,427
428,428,3031,101912,HOUSTON ISD,101912131,HALPIN EARLY CHILDHOOD CTR,10901 SANDPIPER,HOUSTON,77096,HOUSTON,77096,HARRIS COUNTY,4,EE-1,1,1,REGULAR,10901 SANDPIPER,Y,428
429,429,3032,101908,DEER PARK ISD,101908101,CARPENTER ELEMENTARY,5002 PASADENA BLVD,DEER PARK,77536,DEER PARK,77536,HARRIS COUNTY,4,EE-5,1,0,REGULAR,5002 PASADENA BLVD,Y,429
430,430,3033,101908,DEER PARK ISD,101908102,DEEPWATER ELEMENTARY,309 GLENMORE,PASADENA,77503,PASADENA,77503,HARRIS COUNTY,4,"EE-PK,3-5",1,0,REGULAR,309 GLENMORE,Y,430
431,431,3034,101908,DEER PARK ISD,101908104,SAN JACINTO ELEMENTARY,601 E EIGHTH,DEER PARK,77536,DEER PARK,77536,HARRIS COUNTY,4,KG-5,1,0,REGULAR,601 E EIGHTH,Y,431
432,432,3035,101903,ALIEF ISD,101903102,BOONE EL,11400 BISSONNET,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,PK-4,1,1,REGULAR,11400 BISSONNET,Y,432
433,433,3036,101903,ALIEF ISD,101903103,MARTIN EL,11718 HENDON,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,PK-4,1,1,REGULAR,11718 HENDON,Y,433
434,434,3037,101903,ALIEF ISD,101903104,CHAMBERS EL,10700 CARVEL,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,PK-4,1,1,REGULAR,10700 CARVEL,Y,434
435,435,3038,101903,ALIEF ISD,101903105,SMITH EL,11300 STANCLIFF,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,PK-4,1,1,REGULAR,11300 STANCLIFF,Y,435
436,436,3039,101903,ALIEF ISD,101903106,MAHANAY EL,13215 HIGH STAR,HOUSTON,77083,HOUSTON,77083,HARRIS COUNTY,4,PK-4,1,1,REGULAR,13215 HIGH STAR,Y,436
437,437,3040,101903,ALIEF ISD,101903107,KENNEDY EL,10200 HUNTINGTON PL DR,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,PK-4,1,1,REGULAR,10200 HUNTINGTON PL DR,Y,437
438,438,3041,101903,ALIEF ISD,101903108,CHANCELLOR EL,4350 BOONE RD,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,PK-5,1,1,REGULAR,4350 BOONE RD,Y,438
439,439,3042,101903,ALIEF ISD,101903109,LIESTMAN EL,7610 SYNOTT RD,HOUSTON,77083,HOUSTON,77083,HARRIS COUNTY,4,PK-4,1,1,REGULAR,7610 SYNOTT RD,Y,439
440,440,3043,101903,ALIEF ISD,101903110,PETROSKY EL,6703 WINKLEMAN,HOUSTON,77083,HOUSTON,77083,HARRIS COUNTY,4,PK-4,1,1,REGULAR,6703 WINKLEMAN,Y,440
441,441,3044,101903,ALIEF ISD,101903111,HEFLIN EL,3303 SYNOTT RD,HOUSTON,77082,HOUSTON,77082,HARRIS COUNTY,4,PK-4,1,1,REGULAR,3303 SYNOTT RD,Y,441
442,442,3045,101903,ALIEF ISD,101903112,CUMMINGS EL,10455 S KIRKWOOD,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,PK-4,1,1,REGULAR,10455 S KIRKWOOD,Y,442
443,443,3046,101903,ALIEF ISD,101903113,REES EL,16305 KENSLEY,HOUSTON,77082,HOUSTON,77082,HARRIS COUNTY,4,PK-4,1,1,REGULAR,16305 KENSLEY,Y,443
444,444,3047,101903,ALIEF ISD,101903114,ALEXANDER EL,8500 BROOKWULF,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,PK-4,1,1,REGULAR,8500 BROOKWULF,Y,444
445,445,3048,101903,ALIEF ISD,101903115,HEARNE EL,13939 RIO BONITO,HOUSTON,77083,HOUSTON,77083,HARRIS COUNTY,4,PK-4,1,1,REGULAR,13939 RIO BONITO,Y,445
446,446,3049,101903,ALIEF ISD,101903116,LANDIS EL,10255 SPICE LN,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,PK-4,1,1,REGULAR,10255 SPICE LN,Y,446
447,447,3050,101903,ALIEF ISD,101903117,SNEED EL,9855 PAGEWOOD LN,HOUSTON,77042,HOUSTON,77042,HARRIS COUNTY,4,PK-4,1,1,REGULAR,9855 PAGEWOOD LN,Y,447
448,448,3060,84901,DICKINSON ISD,84901101,KENNETH E LITTLE EL,622 OKLAHOMA ST,BACLIFF,77518,BACLIFF,77518,GALVESTON COUNTY,4,PK-5,1,0,REGULAR,622 OKLAHOMA ST,Y,448
449,449,3095,84910,CLEAR CREEK ISD,84910001,CLEAR CREEK H S,2305 E MAIN ST,LEAGUE CITY,77573,LEAGUE CITY,77573,GALVESTON COUNTY,4,12-Sep,4,0,REGULAR,2305 E MAIN ST,Y,449
450,450,3096,84910,CLEAR CREEK ISD,84910002,CLEAR LAKE H S,2929  BAY AREA BLVD,HOUSTON,77058,HOUSTON,77058,GALVESTON COUNTY,4,12-Sep,4,0,REGULAR,2929  BAY AREA BLVD,Y,450
451,451,3097,84910,CLEAR CREEK ISD,84910003,CLEAR BROOK H S,4607 FM 2351,FRIENDSWOOD,77546,FRIENDSWOOD,77546,GALVESTON COUNTY,4,12-Sep,4,0,REGULAR,4607 FM 2351,Y,451
452,452,3098,84910,CLEAR CREEK ISD,84910004,CLEAR VIEW ALTER,400 S KANSAS,LEAGUE CITY,77573,LEAGUE CITY,77598,GALVESTON COUNTY,4,12-Jun,5,0,REGULAR INSTRUCTIONAL,400 S KANSAS,Y,452
453,453,3099,84910,CLEAR CREEK ISD,84910042,SEABROOK INT,2401 E MEYER ST,SEABROOK,77586,SEABROOK,77586,GALVESTON COUNTY,4,8-Jun,2,0,REGULAR,2401 E MEYER ST,Y,453
